AdditionalInformation,QuestionStem,Answer,A,B,C,D,E,F,G
计算机语言具有高级语言和低级语言之分。而高级语言又主要是相对于汇编语言而言的，它是较接近自然语言和数学公式的编程，基本脱离了机器的硬件系统，用人们更易理解的方式编写程序。    普通,"下列关于程序语言的说法中正确的是(    )。
",D,高级语言程序的执行速度比低级语言程序快，可移植性好,高级语言就是自然语言,计算机可以直接识别和执行用高级语言编写的程序,高级语言与计算机硬件基本无关,,,
DB数据总线，控制总线CB，统一资源定位系统（URL）、用户数据包协议（UDP）、 虚拟专用网络(VPN)、ATM异步传输模式、FDM频分多路复用技术、DTE:数据终端设备﹐\r\nDCE:数据电路终接设备或数据通信设备\r\n。    普通,"下面是计算机专业术语的英文（或缩写）完全正确的一组是(     )。
",B,UDP(用户数据报协议)、DTE（数据通讯设备）,Ethernet(以太网)、VPN(虚拟专用网络),URL(超链接文本传输)、FDM（时分多路复用技术）,ATM(异步传输模式)、DB(控制总线),,,
1、一条指令就是机器语言的一个语句，它是一组有意义的二进制代码；\r\n2、指令的基本格式：操作码+地址码，操作码指明了指令的操作性质及功能，地址码则给出了操作数或操作数的地址。    普通,"下列关于指令、指令系统的叙述错误的是（）。
",B,指令系统是指计算机所能执行的全部指令的集合,操作码给出了操作数或操作数的地址,一条指令实际是一组有意义的二进制代码,根据指令内容确定操作数地址的过程称为寻址,,,
"1ASCII=1Byte ,1汉字内码=2Byte，1KB=1024Byte=1024个ASCII =512个汉字内码。    普通","1KB内存最多能存储(    )个ASCII码字符或(    )个汉字内码。
",B,1024、1024,1024、512,512、1024,1512、512,,,
汉字机内码，又称“汉字ASCII码”，简称“内码”，指计算机内部存储，处理加工和传输汉字时所用的由0和1符号组成的代码。输入码被接受后就由汉字操作系统的“输入码转换模块”转换为机内码，与所采用的键盘输入法无关。机内码是汉字最基本的编码，不管是什么汉字系统和汉字输入方法，输入的汉字外码到机器内部都要转换成机内码，才能被存储和进行各种处理。    普通,"在计算机内部用于存储、交换、处理的“汉字ASCII码”是(   )。
",B,输入码,机内码,区位码,字形码,,,
"1byte=8bit,字节是计算机数据的基本单位,而位是计算机存储容量的最小单位。    普通","存储单位：字节和位的关系是(    )。
",D,"字节和位是一个概念,—个字节就等于—位","字节和位是不同的概念,字节用十进制表示一个数,位用二进制表示一个数","字节是计算机数据的最小单位,而位是计算机存储容量的基本单位",在计算机中一个字节由8位二进制数字组成,,,
"例如二进制1001=9左移一位10010=16+2=18，等价9*2=18；十进制5,左移一位50，50/5=10.    普通","—个X进制数算术左移一位相当于给该数(   )。
",B,除X,乘X,加X,减X,,,
"对计算机存储单元编号的过程称为\""编址\""，是以字节为单位进行的。    普通","下列关于数据在计算机的存储叙说中错误的是（   ）。
",D,数据有数值型和非数值型，但在计算机中都以二进制形式表示,字节是计算机处理数据的基本单位，即以字节为单位解释信息,一个字通常由一个或多个字节构成，用来存放一条指令或一个数据,"对计算机存储单元编号的过程称为\""编址\""，是以字为单位进行的",,,
视频信号数字化存在的最大问题是数据量大。    普通,"多媒体元素处理时，视频信号数字化存在的最大问题是(    )。
",C,过程复杂,失真度大,数据量大,精度低,,,
Flash文档保存的默认格式是(即扩展名为):fla;Flash文档保存的默认格式是(即扩展名为):fla;Flash软件默认导出的格式为swf。    普通,"Flash是计算机应用专业必修的一款二维动画设计软件，其导出动画的默认格式是（   ）。
",C,avi,fla,swf,flv,,,
600*800/(1200*1600)=1/4。    普通,"若一副图像的分辨率是600*800，计算机屏幕分辨率是1200*1600，该图像按100%显示时占据屏幕的（   ）。
",B,1/2,1/4,1/6,1:1,,,
矢量图，也称为面向对象的图像或绘图图像，它的特点是放大后图像不会失真，和分辨率无关，适用于图形设计、文字设计和一些标志设计、版式设计等。    普通,"下列选项中可以无限放大而不变形的计算机图形是（    ）。
",C,位图,BMP图像,矢量图,运动图像,,,
录音机是WMA格式的。Windows7中录音机录制的声音文件默认的扩展名为WMA；WMA是微软公司推出的与MP3格式齐名的一种新的音频格式；一般使用Windows Media Audio编码格式的文件以WMA作为扩展名。    普通,windows7自带的&ldquo;录音机&rdquo;默认播放的音频格式是（ ）。,B,RM,WMA,WAV,DTS,,,
区块链是一个信息技术领域的术语。从本质上讲，它是一个共享数据库，存储于其中的数据或信息，具有“不可伪造”“全程留痕”“可以追溯”“公开透明”“集体维护”等特征。基于这些特征，区块链技术奠定了坚实的“信任”基础，创造了可靠的“合作”机制，具有广阔的运用前景。    普通,"(     )是一个共享数据库，存储于其中的数据或信息，具有“不可伪造”“全程留痕”“可以追溯”“公开透明”“集体维护”等特征。
",A,区块链,元宇宙,大数据,云计算,,,
智能家居是通过物联网技术将家中的各种设备连接到一起，提供家电控制、照明控制、电话远程控制、室内外遥控、防盗报警、环境监测、暖通控制、红外转发以及可编程定时控制等多种功能和手段。    普通,"智能家居作为一个家庭有机的生态系统主要是以(    ）为基础的。
",B,互联网,物联网,局域网,智联网,,,
10 110 111=267(8)=B 7(16)    普通,"二进制数10110111转换八进制、十六进制分别是（    ）。
",D,556、B7,575、C6,466、A6,267、B7,,,
标签图像文件格式TIFF是一种灵活的位图格式，主要用来存储包括照片和艺术图在内的图像，大量用于扫描仪和桌面出版应用。    普通,（ ）文件格式主要用来存储包括照片和艺术图在内的图像，大量用于扫描仪和桌面出版应用。,A,TIFF,GIF,BMP,JPG,,,
帧：就是影像动画中最小单位的单幅影像画面，相当于电影胶片上的每一格镜头。 一帧就是一幅静止的画面，连续的帧就形成动画。    普通,"一般我们把视频中的每幅图像称为（   ）。
",C,关键图像,动画,帧,短视频,,,
"磁盘碎片应该称为文件碎片，是因为文件被分散保存到整个磁盘的不同地方，而不是连续地保存在磁盘连续的簇中形成的。文件碎片一般不会在系统中引起问题，但文件碎片过多会使系统在读文件的时候来回寻找,引起系统性能下降，严重的还要缩短硬盘寿命。    普通","利用windows7操作系统工具对磁盘定期进行碎片整理的主要目的是（   ）。
",A,提高磁盘的读写速度,增加磁盘的可用空间,防止数据丢失,使文件能连续存储,,,
国标码是交换码。    普通,"汉字国标码是（    ）。
",B,输出码,交换码,机内码,外码,,,
3*8=24    普通,"三基色（RGB）组成的图像，每个分量中的颜色位数都是8位，该图像的像素深度为（  ）。
",B,8,24,32,64,,,
流媒体就是指采用流式传输技术在网络上连续实时播放的媒体格式，避免播放的中断，也使得播放品质得以保证。    普通,"现在多媒体信息可以边接收边处理，很好地解决了多媒体信息在网络上的传输问题的技术是（   ）。
",C,多媒体技术,AI技术,流媒体技术,5G技术,,,
1111 1111转换十进制255，题目是说无符号数。    普通,"一个字节的二进制数各位上都是“1”,当它是无符号数时，转换成十进制数是(    )。
",C,127,128,255,256,,,
机器数是真值在计算机中的表示，有原、反、补码等形式。    普通,"下列关于数值数据的叙述中正确的是（   ）。
",B,数字0无论是用机器数的什么形式表示，其编码都是一样的,机器数是真值在计算机中的表示,负数的原、反、补码是一样的,八进制整数转换成十进制数时采用“除8取余”的方法,,,
"举例：8位字长原码，第一位是符号位, 所以8位二进制数的取值范围就是1 111 1111 -- 0 111 1111：-127--127。    普通","机器数是将符号\""数字化\""的数，下列关于它的叙述中错误的是（   ）。
",D,根据小数点位置固定与否，机器数可以分为定点数和浮点数,负数的原码、反码、补码形式都不是一样的,0的原码形式有两种,8位字长的计算机，机器数无论采用哪种形式，表示范围都是-128~127,,,
把时间连续的信号转换为一连串时间不连续的脉冲信号，这个过程称为“采样”，又称为“抽样”、“取样”。采样后的脉冲信号称为采样信号，采样信号在时间轴上是离散的，但在函数轴上仍是连续的。    普通,"在音频数字化处理过程中，把时间连续的信号转换为时间不连续的脉冲信号的过程叫（   ）。
",A,采样,编码,量化,AD转换,,,
一个扩展分区可划分多个逻辑分区，正确。    普通,"硬盘分区是有扩展分区和逻辑分区的类别，下列叙述正确的是（）。
",B,一个逻辑分区可划分多个扩展分区,一个扩展分区可划分多个逻辑分区,扩展分区和逻辑分区是没有关系的,必须先建立逻辑分区后再创建扩展分区,,,
CPU出现于大规模集成电路时代。    普通,"CPU是计算机系统运算和控制中心，它出现于（   ）。
",D,电子管时代,晶体管时代,小规模集成电路时代,大规模集成电路时代,,,
主板芯片组几乎决定着主板的全部功能，但不是绝对的集成了所有功能。    普通,"下列关于PC机主板上芯片组的描述中错误的是(   )。
",D,芯片组与CPU的类型必须相配,芯片组规定了主板可适配的内存条的类型、最大容量等,芯片组提供了CPU的时钟信号,芯片组集成了所有外部设备的控制功能,,,
音箱是将电信号转换成声音信号，并释放声音设备。    普通,"电信号转换成声音信号,并将声音信号释放出来的是（   ）。
",C,声卡,电线,音箱,话筒,,,
计算机集成制造系统(CIMS)。    普通,计算机集成制造系统的英文缩写是（ ）。,C,CAD,GPU,CIMS,CAM,,,
"1字节=8bit,是固定的。    普通","在不同型号的计算机中（   ）的长度是一样的。
",B,指令,字节,字长,字,,,
不同的CPU的机器指令是不一样的。    普通,"下列关于CPU的叙述中不正确的是（    ）。
",B,为了提高速度可以多核心CPU,所有的CPU都具有相同的机器指令,CPU担负运行系统软件、应用软件的任务,CPU中包含很多的寄存器用来临时存放数据,,,
总线的分类：数据总线、地址总线、控制总线。    普通,"总线是计算机各种功能部件之间传送信息的公共通信干线，它包括（   ）。
",D,逻辑总线、物理总线、内部总线,并行总线、串行总线、逻辑总线,单工总线、双工总线、外部总线,数据总线、地址总线、控制总线,,,
认证技术：通过检验消息传送过程中的某些参数以防止伪造、篡改、冒名顶替等攻击的技术。    普通,"通过检验信息传送过程中的某些参数以防止伪造、篡改、冒名顶替等攻击的技术是（   ）。
",C,加密技术,数字签名,认证技术,完整性技术,,,
防火墙技术的功能主要在于及时发现并处理计算机网络运行时可能存在的安全风险、数据传输等问题，其中处理措施包括隔离与保护，同时可对计算机网络安全当中的各项操作实施记录与检测，以确保计算机网络运行的安全性，保障用户资料与信息的完整性，为用户提供更好、更安全的计算机网络使用体验。但防火墙设置会弱化网络性能。    普通,"防火墙是网络安全设置的一道保护屏障，以下说法正确的是（  ）。
",D,防火墙可以解决来自内部网络的攻击,防火墙可以防止错误配置引起的安全威胁,防火墙可以防止所有受病毒感染的文件传输,防火墙会严重削弱计算机网络系统的性能,,,
拒绝服务DoS(Denial of Service)能导致合法用户不能够访问正常网络服务，也就是说拒绝服务攻击的目的非常明确，就是要阻止合法用户对正常网络资源的访问，从而达成攻击者不可告人的目的。    普通,"防范DoS攻击是提高网络信息（   ）的安全措施。
",A,可用性,真实性,保密性,完整性,,,
脚本病毒通常是JavaScript代码编写的恶意代码，一般带有广告性质，会修改您的IE首页、修改注册表等信息，造成用户使用计算机不方便。    普通,"（   ）是JavaScript代码编写的恶意代码，一般带有广告性质，会修改您的IE首页、修改注册表等信息，造成用户使用计算机不方便。
",C,木马病毒,蠕虫病毒,脚本病毒,宏病毒,,,
《计算机软件保护条例》由国务院颁布；软件著作权不一定属于软件开发者，要看权益分类；购买了具有版权，但是没有复制权。    普通,"下列关于计算机软件著作权的叙述中正确的是(    )。
",D,张军购买了正版的windows 10软件，他就具有该软件的使用权和复制权,《计算机软件保护条例》是国家版权局颁布的，用来保护软件著作权人的权益,ZY码农小李完成了公司下达的“云课堂”软件，著作权属于公司，署名权归小李,非法进行拷贝、发布或更改软件的人被称为软件盗版者,,,
防火墙技术是通过有机结合各类用于安全管理与筛选的软件和硬件设备，帮助计算机网络于其内、外网之间构建一道相对隔绝的保护屏障，以保护用户资料与信息安全性的一种技术。    普通,"在内网和外网之间采用（    ）技术用来检查网络请求分组是否合法，以保护网络资源不被非法使用。
",D,防病毒,差错控制,流量控制,防火墙,,,
搜索方式是搜索引擎的一个关键环节，大致可分为四种：全文搜索引擎、元搜索引擎、垂直搜索引擎和目录搜索引擎，全文搜索引擎是利用爬虫程序抓取互联网上所有相关文章予以索引的搜索方式；元搜索引擎是基于多个搜索引擎结果并对之整合处理的二次搜索方式；垂直搜索引擎是对某一特定行业内数据进行快速检索的一种专业搜索方式；目录搜索引擎是依赖人工收集处理数据并置于分类目录链接下的搜索方式。    普通,"搜索方式是搜索引擎的关键环节，下列关于它的说法中正确的是（   ）。
",C,元搜索引擎利用“爬虫技术”搜索到的信息很庞杂，需要用户逐一浏览并甄别,目录搜索引擎是基于多个搜索引擎结果并对之整合处理的二次搜索方式,利用“铁路12306”检索所需的车票就是使用的垂直搜索引擎方式,全文搜索引擎是依赖人工收集处理数据并置于分类目录链接下的搜索方式,,,
计算机网络的构成：通信子网和资源子网。    普通,"从计算机网络的构成来讲，计算机网络主要由（  ）组成。
",C,无线网络和有线网络,局域网、城域网、广域网,通信子网和资源子网,总线型、环型、星型和树型,,,
总线拓扑结构发送信息的方式采用的是广播式的工作方式， 所以共享资源能力强。    普通,"总线型网络传输信息的方式是（   ）。
",C,逻辑环方式,令牌传递方式,广播式,电路交换方式,,,
HTML的全称为超文本标记语言，是一种标记语言，HTML的英文全称是 Hyper Text Markup Language。    普通,"HTML的全称是（    ）。
",D,Web服务,文件传输服务,互联网通信协议,超文本标记语言,,,
B类网络地址的最高位必须是“10”。    普通,"B类地址的网络号由2个字节组成，首字节的高2位固定是（   ）。
",C,00,01,10,11,,,
分析： 25个主机，那么2的5次方=32&gt;25-----255.255.255.111 00000=255.255.255.224（掩码）    普通,"要将一个IP地址是208.157.112.0的网络划分成多个子网,每个子网包括25个主机并要求有尽可能多的子网，指定的子网掩码应是为（    ）。
",A,255.255.255.224,255.255.255.240,255.255.255.192,255.255.255.248,,,
11101110.10101011.01010100.00101001转为十进制为238.171.84.41，D类IP地址，第一个字节以“1110”开始，它是一个专门保留的特殊地址。    普通,"不能用于分配给主机的IP地址的是（   ）。
",C,10011110.11100011.01100100.10010100,11011110.11100011.01101101.10001100,11101110.10101011.01010100.00101001,10011110.11100011.01100100.00001100,,,
网状拓扑的缺点(1) 控制复杂，软件复杂。(2) 线路费用高，不易扩充。(3)在以太网中，如果设置不当，会造成广播风暴，严重时可以使网络完全瘫痪。网状拓扑结构一般用于Internet骨干网上，使用路由算法来计算发送数据的最佳路径    普通,"网络结构复杂、传输延时不确定，线路费用高，不易扩充的是（   ）拓扑结构。
",D,星型,树型,环型,网状,,,
PPP具有动态分配IP地址的能力，允许在连接时刻协商IP地址.    普通,"小明的电脑办理了账号采用PPP拨号方式接入Internet，该机（   ）。
",D,因PPP方式没有自己的IP地址,因PPP方式拥有固定的IP地址,因PPP方式可以有多个IP地址,因PPP方式被自动分配一个临时IP地址,,,
封装是指在发送方发生的自上而下的过程—在每一层为应用数据添加上特定的头部/尾部信息。解封装是逆过程。    普通,"当数据包（报）封装从高层向低层传送时,报文首部会(     )。
",B,修改,添加,减去,重安排,,,
"MAC地址也叫硬件地址,它采用48位(6字节)的十六进制格式。    普通","以太网MAC地址的长度是（    )位。
",A,48,54,64,128,,,
冯.诺依曼体系结构是现代计算机的基础。    普通,"（   ）的计算机体系结构是现代计算机基础。
",B,图灵,冯.诺依曼,赫尔曼.何乐礼,范内瓦·布什,,,
"分析题干，只有\""学习和推理能力\""选项。    普通","计算机的AI处理能力在某些方面已经超过了人脑，但在(    )方面依然逊色于人脑。
",D,海量记忆能力,精准计算能力,高速运算能力,学习和推理能力,,,
